,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,M031,0,117.4600882,124.539,107.831,16.9467,3.4424,-2.205760273,2.33215,-7.93793,4.3053,9.0084,16.70072484,19.9933,8.64678,18.7873,1.4119,77.54294112,134.228,0,569.0062,3.1116,140.1755068,146.719,132.1,14.5731,3.3691,17.38496959,18.7927,16.6656,0.2301,6.5429,102.2646425,108.651,93.8845,16.6987,3.4819,116.8940635,146.719,93.8845,127.1904,7.1709,,,,,
1,M031,0,125.9145537,131.583,119.395,8.2564,4.2033,-0.570355607,3.45886,-10,9.8315,9.4152,13.7019912,20,0,23.0406,1.97,91.89465742,113.208,0,200.9519,3.6678,148.9605495,164.438,138.42,50.3868,4.1844,17.13062279,18.7668,15.9882,0.5664,6.9156,111.448515,117.274,101.238,11.8526,4.0446,125.8488994,164.438,101.238,133.9844,7.2392,,,,,
2,M031,0,122.9736236,129.709,111.111,16.2616,4.6786,0.290014309,3.89679,-2.84424,1.7613,9.1237,17.08334667,19.9933,5.44119,10.9326,2.8988,83.33315372,98.1997,0,214.4819,3.6331,151.1042668,157.528,141.226,12.1557,4.4186,15.90576244,17.4911,15.1825,0.1524,6.4089,105.3907133,114.439,93.7959,18.224,4.5231,123.0056756,157.528,93.7959,194.2126,7.3984,,,,,
3,M031,0,114.4851749,131.027,0,493.8957,4.0928,-2.384974639,4.15771,-10,12.9005,9.6921,14.82673414,20,6.21955,15.2866,2.1156,87.75230902,127.66,0,515.5828,3.8915,130.1129387,145.006,0,620.0878,4.057,19.9501893,24.1287,16.5665,2.0285,7.6377,102.2657692,123.831,0,289.1357,4.0973,116.7959989,145.006,90.0452,103.813,7.1704,,,,,
4,M031,0,118.5917887,136.444,110.916,25.9266,3.1135,-1.022343966,3.60168,-8.00751,5.9953,9.2467,17.22000512,20,10.2793,11.0417,1.8936,79.89213174,171.92,0,975.499,2.868,132.5570169,149.554,126.784,19.4697,3.1135,19.88773834,21.1304,18.6707,0.4166,6.743,103.0090193,130.092,0,451.3111,3.2456,119.1377261,149.554,98.1372,99.0874,7.0168,,,,,
5,M031,0,99.52771436,113.005,88.4257,22.6354,5.3133,-0.977761397,4.66003,-8.36212,4.9437,9.6829,13.97666384,20,0,31.0512,3.0463,92.69465756,120.24,30.6435,138.0162,4.2215,120.5728284,130.092,111.575,12.324,5.009,8.328806382,18.8049,3.35998,20.9906,7.9543,86.8009279,98.2258,0,27.414,5.0312,99.42653946,130.092,76.8735,117.2894,7.1856,,,,,
6,M031,1,112.5551818,126.215,96.9559,54.661,4.5861,-4.742827817,2.59277,-10,13.1099,9.5545,14.45451074,20,7.4001,17.023,2.5098,97.29751707,120.24,0,182.0336,3.8259,130.9861249,140.044,116.211,21.5632,4.4527,14.47190643,15.4572,13.8443,0.1292,6.2701,101.6314145,113.996,86.8556,58.4459,4.4471,112.7577776,140.044,87.0624,122.0924,7.2363,,,,,
7,M031,0,114.9607522,123.243,103.379,26.1389,3.8351,-4.373073233,0.836182,-8.48938,7.0282,9.4227,15.88021514,20,9.05934,14.2652,2.2453,87.66009187,109.29,44.2804,202.4238,3.4995,137.0792767,144.415,122.502,17.803,3.8054,20.35533824,22.1466,18.9072,0.6153,7.1164,101.8137493,115.591,0,85.8602,3.7553,114.7110753,144.415,92.3487,104.26,7.1311,,,,,
8,M031,0,108.3401829,115.65,101.384,18.633,2.7748,-5.425297277,-0.387878,-8.4848,6.2174,8.6072,7.335977186,10.979,5.46847,5.5067,0.9758,89.82803485,98.3607,82.4176,14.6182,2.499,131.0614685,135.23,122.679,10.6667,2.7748,15.4963742,17.0883,14.3005,0.9529,6.4978,96.79570059,103.542,88.3618,19.8306,2.806,107.9954971,135.23,88.3618,109.0896,6.9829,,,,,
9,M031,0,107.3365541,118.199,0,442.6482,2.8443,0.904957162,3.80859,-1.78162,1.3004,8.5611,16.019512,20,7.19424,26.136,1.2609,72.66573029,147.42,0,1022.7717,2.91,122.6252265,136.353,0,591.4453,2.8443,18.69435807,22.4289,16.272,2.9508,7.4623,96.14602623,106.377,0,205.251,3.0296,108.5826635,136.353,90.9902,91.2871,6.9817,,,,,
